datetime,open,close,high,low,涨跌幅,涨跌额,volume,成交额,振幅,换手率
2026-03-12 15:00:00,1396.72,1392.0,1397.58,1392.0,-0.35,-4.85,1051,146460729.0,0.4,0.01
2026-03-13 09:35:00,1392.48,1400.03,1400.96,1392.0,0.58,8.03,1532,213680213.0,0.64,0.01
2026-03-13 09:40:00,1400.0,1409.0,1409.61,1400.0,0.64,8.97,2738,384804845.0,0.69,0.02
2026-03-13 09:45:00,1409.1,1411.07,1417.62,1408.23,0.15,2.07,4091,578615597.0,0.67,0.03
2026-03-13 09:50:00,1410.59,1410.64,1411.88,1408.99,-0.03,-0.43,1127,158941597.0,0.2,0.01
2026-03-13 09:55:00,1411.95,1412.0,1412.39,1409.21,0.1,1.36,1336,188474639.0,0.23,0.01
2026-03-13 10:00:00,1412.03,1408.99,1414.61,1408.21,-0.21,-3.01,1096,154654845.0,0.45,0.01
2026-03-13 10:05:00,1408.62,1408.23,1410.89,1405.25,-0.05,-0.76,1041,146530273.0,0.4,0.01
2026-03-13 10:10:00,1408.22,1408.51,1408.88,1405.56,0.02,0.28,529,74444756.0,0.24,0.0
2026-03-13 10:15:00,1408.51,1405.39,1408.51,1403.89,-0.22,-3.12,557,78297788.0,0.33,0.0
2026-03-13 10:20:00,1405.39,1403.86,1407.12,1402.72,-0.11,-1.53,513,72062335.0,0.31,0.0
2026-03-13 10:25:00,1403.86,1405.92,1406.0,1403.86,0.15,2.06,293,41172837.0,0.15,0.0
2026-03-13 10:30:00,1405.89,1404.99,1406.4,1403.9,-0.07,-0.93,329,46232654.0,0.18,0.0
2026-03-13 10:35:00,1404.99,1402.7,1405.0,1402.0,-0.16,-2.29,758,106347640.0,0.21,0.01
2026-03-13 10:40:00,1402.32,1402.12,1403.0,1401.01,-0.04,-0.58,297,41633361.0,0.14,0.0
2026-03-13 10:45:00,1402.15,1402.47,1403.29,1402.03,0.02,0.35,275,38572910.0,0.09,0.0
2026-03-13 10:50:00,1402.35,1402.06,1403.0,1401.23,-0.03,-0.41,391,54823297.0,0.13,0.0
2026-03-13 10:55:00,1401.87,1403.97,1404.0,1401.29,0.14,1.91,328,45999009.0,0.19,0.0
2026-03-13 11:00:00,1402.9,1403.74,1404.01,1401.87,-0.02,-0.23,207,29035360.0,0.15,0.0
2026-03-13 11:05:00,1403.74,1404.38,1404.93,1403.7,0.05,0.64,168,23590014.0,0.09,0.0
2026-03-13 11:10:00,1404.38,1405.51,1406.0,1403.54,0.08,1.13,308,43274257.0,0.18,0.0
2026-03-13 11:15:00,1405.68,1403.14,1405.68,1403.08,-0.17,-2.37,313,43977900.0,0.18,0.0
2026-03-13 11:20:00,1403.23,1404.61,1406.44,1403.11,0.1,1.47,283,39763004.0,0.24,0.0
2026-03-13 11:25:00,1405.6,1405.2,1406.44,1405.0,0.04,0.59,327,45977202.0,0.1,0.0
2026-03-13 11:30:00,1405.2,1404.5,1405.87,1403.85,-0.05,-0.7,224,31464192.0,0.14,0.0
2026-03-13 13:05:00,1404.5,1409.98,1410.0,1404.5,0.39,5.48,937,131972795.0,0.39,0.01
2026-03-13 13:10:00,1409.98,1414.2,1415.18,1409.98,0.3,4.22,1400,197875383.0,0.37,0.01
2026-03-13 13:15:00,1413.02,1413.75,1414.84,1412.08,-0.03,-0.45,586,82851314.0,0.2,0.0
2026-03-13 13:20:00,1413.76,1413.99,1414.99,1413.2,0.02,0.24,480,67876795.0,0.13,0.0
2026-03-13 13:25:00,1413.9,1413.14,1414.2,1413.14,-0.06,-0.85,454,64191619.0,0.07,0.0
2026-03-13 13:30:00,1413.19,1412.5,1413.19,1412.05,-0.05,-0.64,350,49441842.0,0.08,0.0
2026-03-13 13:35:00,1412.52,1414.21,1414.5,1412.52,0.12,1.71,627,88577273.0,0.14,0.01
2026-03-13 13:40:00,1414.2,1414.0,1414.42,1413.84,-0.01,-0.21,359,50770081.0,0.04,0.0
2026-03-13 13:45:00,1414.0,1412.82,1414.29,1412.63,-0.08,-1.18,289,40858936.0,0.12,0.0
2026-03-13 13:50:00,1412.98,1411.86,1413.11,1411.86,-0.07,-0.96,260,36729763.0,0.09,0.0
2026-03-13 13:55:00,1411.84,1413.34,1413.5,1411.84,0.1,1.48,309,43647368.0,0.12,0.0
2026-03-13 14:00:00,1412.97,1413.43,1413.7,1412.09,0.01,0.09,320,45214010.0,0.11,0.0
2026-03-13 14:05:00,1413.44,1413.81,1413.85,1413.16,0.03,0.38,355,50179234.0,0.05,0.0
2026-03-13 14:10:00,1413.7,1412.47,1413.83,1412.44,-0.09,-1.34,348,49159223.0,0.1,0.0
2026-03-13 14:15:00,1412.49,1413.89,1414.0,1412.45,0.1,1.42,660,93246061.0,0.11,0.01
2026-03-13 14:20:00,1413.8,1416.0,1417.0,1413.8,0.15,2.11,1313,185850945.0,0.23,0.01
2026-03-13 14:25:00,1416.02,1414.55,1416.99,1414.55,-0.1,-1.45,714,101072868.0,0.17,0.01
